listing_id,summary
1902729, it  was  perfect  for  a  few  days  stay.  Lili  and  Jin  are  lovely  and  welcoming.
1902793,my  colleague  found  Jin's  place  very  clean  and  in  a  quiet  and  nice  neighborhood.
1941719,the  apartment  is  on  a  high  floor  with  an  incredible  view  of the  city. it's  spacious  and  very  clean  and  tidy  and the location  is  perfect  as  a base  for  exploring.
2009008," house  locates  near  MRT  line  and  street  so  can be  noisy  but  if  you  close the  bathroom  window, it  won't be  a  big  deal.  Close  to the  MRT station,  a  Bus  Interchange  and  a  big  shopping  mal"
2030663,location  is  about  30  mins  by  bus  to  city  area. the  area is  mostly  dominated  by old  residences  who  come  from lower  income  household.
2129215,Shirley  is a  wonderful  host.  we  would definitely  stay  here  again  and again!
2142826,Abby  and  David  provided  quick  and  responsive  service.
2156372,"Regina's  place  is  very  convenient  with  5-10  mins  walk  away  to  most  amenities,  clinics,  shops  and  food."
2320536," hotel is  okay, but  a bit  far.  public transport  in  is  very  good."
2387588,hotel was  near lavender  station  and  easy  to  find.
2387715," great  experience,  definitely  will come  back  to  stay  here  again!  Great  experience,  will come  back  to  stay  here  again!"
2387730,"despite  minor  setbacks, we  enjoyed  our  stay  in  Blanc  Inn ."
2547778,not cheap  and very  spartan.
2922184,"the property  is of  poor  value,  and you can  find  newer,  cleaner apartments  in  Singapore  for  cheaper  rates."
3034137,i  had such  a wonderful  time  with  Rosanna  and her  two  beautiful  dogs.  the  convenience  of  having  an  attached  bathroom  and the  amazing  perk  of  a  pool  to swim  in!  the location  is  ideal  step  outside  the  building  and 
3075620," I've  booked  my  next  stay  with  Katherine.  it's  not like  a  holiday  apartment,  it's  a  second home  since  the  first  moment of  my  arrival."
3209752, you  are  also  flexible  in  letting  me  store  my  baggage  after  check  out  until  I  come  back  to  collect it later  in the  evening.  you  let  me  have the  bread  and  cheese  breakfast  also  saves  me  a lot  of time
3304326,the  flat  is  very  new  and  clean.  Only  10  minutes  to the  airport  and  Changi  business  park  and  20-  30  minutes to the  city  by  MRT.
3667894,"a  nice  option,  excellent  location,  very  responsive  host."
3717196," not very  clean, but  it's  a  hostel with  the manager's  management."
3802621,"i was  amazed.  impressed.  the hotel was  lovely,  helpful  and  kind."
3803160,the  host is  very  nice  and  helpful. the  rooms  are  quite  small.
3980202,Superb  hostel was  wonderful.  very  friendly  staff.  very well  located  in  the  Cartier  Malays  and the  Metro  is  7  minutes away.
3981252,Chris  is a  friendly  and  attentive  host.
3990431,super  hostess were  amazing.  made  me  feel  like  home.
4008423,i  am satisfied  with  my  1  night  stay  in  Blanc  Inn .
4054698,"a  great  place,  near  the  MRT  and  you  can  find  many  delicious  food  in  chinatown,  if  you guys  go  singapore,  do  not  miss this  convenient  place."
4069756," the  landlord  is  very  enthusiastic,  the  house  is  clean,  transportation  is  very  convenient  to  eat .  the  host  keeps  the  room  and  toilet  very  clean  and  dry."
4271250,"Yong  Xing  was  a  great  host,  communication  was  great  and  met  us promptly. the  property  is  exactly  as  advertised ."
4360679," a  great place,  many  food  choices  and  stores.  if you want  to eat  outside, there  is no  kitchen."
4441346,the  reservation was  canceled  17  days  before  arrival.  this  is  an  automated  posting.  it  is  far  enough  away from  the  city  to  eanlble.
4486217,faith  and her  husband  have been  wonderful  hosts;  from  the  beginning  very  helpful  and  friendly.  the  complex  has  three  excellent  pools  and  a  gym.
4499317,apartment is very  quiet  clean  for  a week  or  two  solo . it's  convenient  for  you  to  catch  MRT.
4526703,i  was  a  guest  in  this  condo  for  3.5  months.  The  reservation  was  canceled  7  days  before  arrival.  Willy  is  a  great  host.
4541072, everything  is  getting  a bit  older  and  could  use  some  refreshing  but  for  the  price  still  very  good  value. the  location  is  very  near  to the  Macritch  Reservoir  and  great  Nature  there.
4541183,the apartment was very well-located and very  convenient for  anyone  who may be  travelling  on  business  but  still close  to  some  good food  options  and  nightlife.
4561032,the hotel is a great value for money. the room was very clean and comfortable.
4664392," the  place  was  very  nice  and  she  explained  how  it  all  worked  to  me.  the  room  is  clean  and  charming,  and is  in  the  center  of  Singapore."
4712676,"a  week  during  the  Jubilee  weekend.  room  was  as  advertised,  a kingsize  bed  with  own bathroom  (not  shared)  bathroom  was  very  clean  and  of  decent  size."
4741630,i  went ahead  with  it  and  find  everything  wonderful  with  no  complains.
4771752,the  place  is  clean  and  quiet  and  my  room  had  this  wonderful  walk  in  closet.  The  place  is  very  secure  plus  loads  of restaurants  nearby.
4863317,chinatown  neighbourhood  here  is  vibrant  and  interesting.
4869221,the hotel is located in chinatown. it is a good value for the money.
4926170,the  host canceled this  reservation  11  days  before  arrival.
4973227, I  love  that  the  bed  is  super  comfortable.  I  really  like  that  they  provide  a  hair  dryer  and  laundry  soap.  I  could  not meet  my  host  at the  promised  time  which  was  8:30AM.
4989903," great  location,  spacious  and  clean  room  was  quiet  spacious  and  dealing  with  host was  comfortable."
5040689,"Dianne  and her  husband  are  very  nice,  helpful  and  friendly."
5052014,"i  stayed  at  this studio  for  six  days,  and  it was  a  great  location  to  explore  the  rest  of  the  city."
5116961,the  host canceled  this  reservation  3  days  before  arrival.
5233415,"the  host  canceled  this  reservation  8  days  before  arrival. the  place  is  peaceful  and is  within  the  city, surrounded  by  a lot  of  eateries  and hidden  cafes."
5253599,"Dianne was  an excellent  host,  from  meeting  me  at  the  start  of  our  extended  period . the apartment  is  very  conveniently  located  for  travel  and  shopping."
5339318," the  condo  is  probably the  best  in  the  whole  neighborhood,  24h  security,  very  clean  and  well  maintained.  the pool  is  small  but  really  nice!  the  flat  is  in  pristine  condition,  the  quality  of  the fittings  is "
5446857,despite  being  in  busy  road  my  room  was  very quiet.  WiFi  very  good.  Certainly  100%  still  a  small  apartment.
5448209,"great location,  very  clean,  very  friendly staff,  very  friendly. staff were  especially  helpful,  very accommodating."
5464246," Sebastian's  house  was  comfortable,  clean  and  cosy  with  everything  including  washing  machine,  oven,  microwave  and  fridge.  overall,  I  got  a  which  rates  better  than  a  4  star  hotel."
5504230,"the  host  canceled  this  reservation  8  days  before  arrival. the  location  is  fantastic,  with two  MRT  stations nearby."
5551665, the  host canceled  this  reservation  15  days  before  arrival.  the  room  is  brand  new  and the  building  is  conveniently  located  next  to the  Holland  Village  MRT  station.
5573458,the  landlord  is  a  very  amiable  landlord  with  a  clean  room.
5582645,Cindy  was  a  really  nice  host  and made  us feel  like  we  belong  there. she's also  very  neat  person  and  always try  to keep  everything  in  order.
5634851,"stayed  at  Diane  a  great,  friendly  and  accommodating  host. the  apartment was  very  nicely  furnished  and  super  clean."
5774164,apartment is  compact  but  really  nice  as it  has  the  balcony  looking out  to the  pool  feels  lot  more  spacious.
5798211,"i  stayed  at  Eddie's  place  for  almost  3  months.  does  not intrude  on  your  privacy,  goes  out  of  his  way  to  help ."
5827713,a  rare  find  in  a  quiet  neighbourhood.  my  host  Eddie  made  me  feel  at  ease  in  his  home.  his  housekeeper  Susan  went  above  and  beyond  to  make  sure  I  was  comfortable .
5827998," my  stay  at  Eddie's  place  was  a  wonderful  experience.  the  house  is  beautiful  and  spacious  too,  with  an en-suite  private bathroom."
5889741," incredibly  generous  with  her  time,  extremely  responsive  and  committed  to  making  her  apartment  as  perfect  possible. the  apartment  is  extremely  comfortable  and  quiet."
5908083," the  apartment  was  quite  unique,  a  shop  house  as  they  are  called  in  Singapore,  with  high  ceilings  and  a  lovely  balcony.  The  area  is  fantastic  in  the  heart  of  Little  India,  lots  of  great  restaurants |"
5919270," the  house  is  located  in  a  peace  neighborhood  with  a bus  station  in  3  minutes,  very  near  the  airport,  so  it  is  nice  for  early  check  in."
6020248,"Rebekah  is  a  great  host.  very  friendly  and  super  helpful.  Nothing  is  too  much  for  her.  communication  is  very  easy  and  an  instant  reply  is  guaranteed.  The  room was  clean,  very  spacious  and  newly  renovated. "
6261313," Rebekah  is  a  friendly  and  approachable  host.  the room  is  spacious,  perfectly  clean  and  neat."
6287204,"i  stayed  6  nights  at  this  apartment,  and  felt  like  home.  it  is  a  small  apartment  but  fully  equipped."
6300577,Sebastian  was  a  great  host who  offered  help  whenever  I  needed  it. he was  always  available  whenever  I  tried  to reach  the airport.
6317686,chinatown is a great place to stay if you love the buzz and liveliness of chinatown.
6453321," what  I  loved  about  staying  at  Dianne's  was  that  it  made  me  feel  like  a  local.  if  you want  to  stay  in  a  residential  area,  I  recommend  this  place."
6481052, the apartment was  very  helpful  and  provided  an airport  limo  transfer  and  flexible  check  out  time.  a  couple  of them were  really  nice  and  helpful  including  the indian  dude.
6529707,"Suan  and her  husband  helped  me  a lot.  thanks,  in  Khim's  place  definitely  one  of  the  best  memories  in  Singapore."
6547248,this  is  an  automated  posting. the  host canceled  this  reservation  13  days  before  arrival.
6603464," my  experience  with  Jason  was  very  good  host.  i  have  lived  happily  these  days,  thank  you."
6607671,our  host was  very  helpful  and  available  at  any  time.
6620261,"apartment is  comfortable,  clean  and  quiet. it  has  a  balcony  where you can  sit  out  enjoy  the  sunset."
6630341,"steven's house is  a  really  nice,  make us  feel  like  home. the  cost  performance  is  very  high. the  house is  located  in  a  quiet  villa  area."
6638508,i  stayed  at  a  second time  i  used  Air  BnB  and  am  glad  I  did. the  penthouse  with  great  views  of the  city  from  the  room.
6693516,"despite  the  late  notice,  a  cheery  girl  on  Airbnb  was  more  than  accommodating. despite  being  a  mere  15  minutes  away  from  city,  the venue  is  perfect."
6716844,it  is  great  overall. it  is  convenient  for transportation  nearby.
6718219, my  first  impression  of  Singapore  couldn't  be  any  better.  to say  that  the room  is  spacious  is  an  understatement.
6718514,airbnb  was my  1st  time  using  airbnb  and  with  Steven  as  the  host .
6831622,"the apartment is located in dover,  a  nice  neighborhood. it's  20-25  from downtown  by  MRT. it has  full  view to the tennis  courts."
7156419,Purple  is  a  nice  and  accommodating  hostess. it  comes  with  all  the  needs  suited  for  a  family  of  3.
7162659,"the location is  good,  walk  to the  subway station  for  10  minutes,  the  bus  station  is  5  minutes. there  are  supermarkets  and food  pavilions  nearby."
7250709," the  location, bus  stops  are  around  you  everywhere,  and the  MRT station  is  close."
7250803,"kingsley's was  a  great  host  who  adapted  to  our  needs,  he was  also  generous  when  our  partner  and  I  were so  hungry!  overall  is  a  pleasant  and  calm  place  to  stay."
7296138,Catherine  is  an  amazing  host . she  does  everything  possible  to make you feel  home.
7321238,Wendy  and  Keith  are  very  helpful  and  care  of  you.
7398096,"Isoda's  home  is  located  on  the  east  coast,  surrounded  by  beautiful  buildings,  beautiful  plants,  very  comfortable,  if  you have  enough  time,  rent  a  bike  is also  a  good  choice."
7441844,stayed  at  Singapore  Green  Space  for  28  days.  felt  very  comfortable  and  satisfied. welly  is  a  very  nice  and friendly  host.
7641522, there may  be  a song  to  pray  every  day.
7653937,Keave's hotel is a must for  Singapore's  hot  weather2  wifi  networks is  pretty  good  for  redundancy.
7666349," a  lovely  place  to  live  in,  whether  for  a  few  days  or  weeks.  Pros:  very  spacious  Deluxe  room  and  bathroom  is  clean  with  basic  amenities."
7667016,"Joey was  very  fast  in  replying  message,  giving  accurate  instructions.  I  strongly  recommend  her  place.  The  host  canceled  this  reservation  2  days  before  arrival."
7720994,the  host  canceled  this  reservation  45  days  before  arrival. Dianne  was  extremely  helpful  and  accommodative. she would  definitely  stay  again.
7765392,mr.Rainer  and  Isa  are  great  hosts  with  a  fantastic  place.
7769781, Tilak  was  an  excellent  and  friendly  host. he  drove us around the  city  by car.
7905972,my  host  Christine  made  me  feel  very  welcome.  I  plan  to come  back in  the  future.  it was  the  first  airbnb experience  for  me.
7927886,Kingsley's is  very  flexible  and  accommodating. the  place  is  modest  but  with  everything  you  need .
7946472,the  host canceled  this  reservation  the day  before  arrival.
7994039,the location is  conveniently  located  (short  walk  to bus  stations  and  2  MRTs)
8004063,"the location is  perfect  for  work  or  leisure. the  apartment is  well  situated,  5  minutes  walking  from  Lavender  station,  and  just a  minute  walk to great  restaurants."
8007663," our  checkin  was  at  3am  and  i'm  quite  impressed  with  the  details  of  the  self  checkin  procedure  and  the  safety  provided  by  the  cameras  along  the  staircase,  corridors  and  kitchen  areas."
8017511, this  was  my  first  time  using  Airbnb  so  I  didn't  know  what  to  expect  but  my  experience  at  her  place  made  me  want  to use  Airbnb  again.  The  neighbourhood  is  a  peaceful  area  of  landed  house
8038199,the  apartment  is  very  cozy  and  very  comfortable  and  clean . the  area is  the  best  of  all .  communication  with  Stephanie  and  Emmanuel  was  excellent.
8111502,"Katherine's apartment was  a  total  and unexpected  delight. it was  clean,  spacious  and  had  all  necessities  stocked  in."
8111607,Katherine  is  a  very  accommodating  lady  who  helped  us  to  extend  our  stay 
8113569,Katherine's  place  is  very  good  option. the  cleanliness  of the  place  and  communication  between  Nur  and  her.
8113712," everything was  superb,  I have  never had  another  stay  that was  as  good  as this  one."
8113821, everything was  perfect  from  the  time  we  arrived.  we  loved  the  laundry  services  and  especially  since  we  were all  there for  work  at  the  exhibition.
8113893, we  loved  the  laundry  services  and  especially  since  we  were all  there  for  work  at  the  exhibition.  we  wished  our  rooms at  home were  as  cosy  and as  these.
8113936, we  loved  the  laundry  services  and  especially  since  we were  all  there for  work  at  the  exhibition.  we  loved  the  rooms  were  so  comfortable  and made  us  wish  our  rooms.
8114003, everything was  perfect  from  the  time  we  arrived.  every  day  cleaning  and laundry  service was  a  great value.
8180346, it's  about  5  min.  walk  from  the nearest  bus  stop  and  10-15min.  there's  ATM  and  MRT  station  called  Sinei.
8196359,"the location is  near to the MRT  station,  quite  convenient  to travel  to  other  places."
8200542, you can't  find  more  kind  host  than  Michael  anywhere.
8256942,Jason  and his  wife  are  very  nice.  they  ensure  our  stay  will be  nice.
8264717, my  stay  at  Garden  Of  Eden  was  a  perfect  experience!  The  host  were  very  friendly  and  helpful.  they  were  also  very  accommodating.
8277151," Spanking  new  feel  studio  with  pool,  gym  &  rooftop  access.  Close  to  24  supermarket,  actually  on  corner  or  Oxley  &  River  Valley."
8380826,"the  house  is  neat  and  nice,  and the  hosting  couple  is  kind  and  accomodating. the  only  downside  for  me  was that  the  bed felt  a  little  too  soft,  but  I  got  used to  it."
8445747, my  friend  from  France  need  to  checkin  at  2am  and  it  works  well  from  keave's  place  as  it's  automated  self  checkout.
8508225," a  great  host,  at  a  great  price.  Swami  was  a  great  host,  quick  to  respond  and  helpful  with  my  questions."
8625349,"beary's is a  typical  hostel,  not  a traditional  b'n'b,  but  providing  a  good  breakfast  free. the location  is  ideal,  with plenty  of  food  places  around it,  and  opposite  the wonderful  MRT."
8626676, we  stayed  in  a  6-bed  mixed dorm.  we  arrived  3hrs earlier  than  the  check-in  time  but  their  staff  let  us  leave  our  bags in  a  room with  cctv  camera.
8654132,the  place  was  cozy  and the  staff  were  indeed  warm  and  friendly.
8654673," it  felt  like  sleeping  over  a  friend's  place.  they  did  things  differently,  but  as  you  respected  rules  and  boundaries,  your  stay would be  pleasant."
8705956,owners  were  prompt  in  responding  to  issues  with  the property. the  apartment is  in  a  great  location  with  a  lot  of potential  to  improve.
8721639,"Betty  &  Fred  gave  us  precise  and detailed  pictorial  instructions on  how  to  get  there,  where the cab  driver  should  drop us ."
8800763," if you're  a  fan  of  small  and cosy  spaces, this  the  epitome  of  that."
8890247,"the  place  is  just  5  minutes  walk  from  Kallang  MRT,  which is  very  convenient. the  neighbourhood  itself  is  safe  and  clean  since  it's  Singapore."
8897560, 'til  next  time!  good  value  and  fairly  clean  host  is  very  accommodating.
8914905,great  place  to  host  multiple  people  and  much  more  comfy  than the  picture  suggests.
9016784, the  location  is  very  near  to Novena  medical  center  which  is  good .  the  host  is  kind  enough  to  have the  flexibility  for  an early  check-in  (7am)
9054629,a  good  location  near  to Raffles  MRT  Station  and  its  on  Boats  Quay .
9054941,very  converse  place  to  stay  and  rest  for  adventurous  individuals  who  wish  to tour  around  SINGAPORE  CBD.
9055103,i  would highly  recommend  this  hostel. the  best i  have stayed  so  far!
9105592,the  host canceled  this  reservation  3  days  before  arrival.
9116730," hostel is  easy  to find  if  you  follow  the  guidance  from  Host!  it's  nice,  clean,  tidy  and  same  as  the photos."
9143024,the  listing  is  accurate. the  room  is just  finished  renovated.
9216943," place  is  very  near  mrt  station,  some  convenience  stalls  and  a  shopping  mall.  thanks  very  approachable,  kind  and  accommodating  host.  made  me  feel  at  home."
9268058,8.5/10  for  the  experience!  Thank  you!  Everything was  great!  From  cleanliness  to  location  to  service!
9268500,i  will  stay  here  when  i  comeback  sing  For  budget  holiday  is  fine.
9268680,Ark  hostel was  an  energetic  and  a  super  friendly  host.  we  felt  we  were  home.  we  had  no  issues  with  the  place.
9269260,"it's  really  pleasure  to  stay  at  Ark's  hostel. the  localisation  is  good,  so  close  to the  MTR  system."
9269637,"the  place is conveniently  located,  just  a  minute  walk  away  from the nearest  MRT  station. the  listing itself  is  enough  for  8  people  and  has  a  very  fast  internet  connection."
9269848,"the hotel is located in the heart of SG's capital, shanghai. it's a great place to visit if you're in shanghai."
9269981,"if you're  on  a  budget, this  is  one  of  the  best place  to  stay  in  Singapore. all  rooms were  squeaky  clean,  the bathroom  were  maintained  properly."
9281075, Jialin's  house  is  a  very  nice  place  to live.  the  family  is  very  easy-going  and  supportive.
9283072,to  conclude  this  personage  is  very  far  to  the airbnb  chart  of  conduct.
9320962,"the  host,  Mr  Antonio  is  welcoming  and  accommodating  to  guest's  needs. the  room  is  kept  clean  and  completed  with  a  towel  and house  slippers  upon  arrival."
9351647, a  wonderful  host.if  you  are  in  a  budget  and  looking  for  strategic  location  this  place is  for  you.
9459389, we  lived  in  Tina's  big  villa  for  two  weeks.  we  lived  in  the  park  of  Sambaron.
9464059,"i  stayed  at  Nanda's  place  and  had  a  great  stay. the  location  could  not be  better,  2-3  min  walk to  MRT  and bus  stops."
9476931," very  nice  from  the  very  start  we  plan  to  book  her  apartment.  she  also  shared lots  of places  to  go  in  SG,  incl.  Pulau  Ubin  and  Macritchie."
9532788,"i  learnt  the  host/hostess  is  a  friendly  and  humble  person,  they  don't  encourage  people  or  occupants  to  leave  reviews. i  regret  staying  here  only  for  1  night."
9584573,"Anthony and  Dennis  are  incredible  hosts. the  apartment is  cozy,  bright  and  exceptionally  clean  with  a  cute  balcony  for  relaxing  meals."
9635192, a  pleasant  experience  staying  at  Mr  Ong's  place.  my  flight was  delayed  when  I  arrived  but  was  very  grateful  that  Elle  waited  for  me  until  quite  late.
9637478,the hotel is in a busy  central  area with  many restaurants  bars  but  it  is  quiet  inside. the  room was  comfortable  with  a  big  locker.
9746208," the location  was  perfect  there  was  so  much  to  see  within  walking  distance in  Chinatown,  and the apartment  was  also  right  of the  Chinatown  MRT  station."
9857050,a  huge  flat  by  Singapore  standards  with  a  great  balcony. the location  is  very  close  to  downtown  Singapore  and  hauling  a  taxi  or grabbing  a  coffee  nearby  is  never  an issue  even  at  odd  times.
9866985,minus  for  3pm  check-in  and unstable  wifi  connection.
9887900," the  apartment  is  excellent,  very  clean  and  Esther  ensures  that  all  the  basic  necessity  is  there."
9910891,most  important  hosts are  very  friendly  and helpful  people!
9928008," it's  a  five-minute walk  from  the  MRT  station, but  you will  not hear  the  noise  from the  trains."
9932692,"the  landlord  is  a cute  boy,  and the  room is  far  clean  and  tidy  than  the photo."
9942594,the  host canceled  this  reservation  53  days  before  arrival.
9967697,beary  hostel was  clean  and very  comfortable  to  stay  in. it is  very  to  find  and  catch  MRT  to  go  to  attractive  places  in  Singapore.
9986864, a  nice  guys  but  could  have been  more  ready  to  receive  guests:-We  didn't  have  the  complete  address-Wifi was  not  working  the  first  days .
10001615," a capsule  hostel  was  great!  it was  simple,  clean  and  cozy,  everything  I  was  looking  for."
10013630,"a  good  sized  and  well  located  in  the  CBD;  had  it all  for  3  adults  and  2  under  5s.  Gordon  was  a  gracious  host,  and  very  helpful."
10020525,"i  will  definitely come  back  and  recommend  to  others. the hostel is located in a quiet area of syakilla, 5-10 minutes' walk from lavender."
10020690,"a  little  bit  far, but  as all  the other  hostels  in  the  price. the  double  capsules  are  spacious  for  2  people  to  sleep comfortably."
10021140," super clean  environment  and  cannot  fault  the  people  who  work  here,  perfect  for  budget  travellers."
10021610,"the hostel is very  centrally  located,  making  it  easy  to  grab  the  MRT  at  Lavender  to  all  sights  in  Singapore."
10023519,"i  really  enjoyed  my  stay  at  Blue  Penguin.  the  place  is  clean,  the  bathroom  is  clean,  and the  hosts  are  kind."
10027442,the location is  not  far  from the  MTR station. the hostel was  quiet  and they  provide  bread for  breakfast.
10030323,"the hostel is  very  nice,  the  description  is  precise,  and the  area  is  very  nice  and  safe."
10032227, this  reservation  23  days  before  arrival.  this  is  an  automated  posting.
10040456, a  five  minute  walk  to  the  MRT.  free  phone  cards  are  provided  upon  request.
10040969, our  stay  in  Blue  Penguin  was  very  comfortable  during  4  days.
10041012,great  place  to  live  in   a  great  location  and  convenient  traffic. they  are  very  nice  and  warm-hearted .
10126030," this  place  is  very  worth  for  the  money  we  pay,  and it  suit  for  the  traveler  who  have  minimum  budget  but would  like  to  stay  at  reachable  place  and  a  clean  room  as  well   walking distance  to "
10399199, our  family stayed  at  Dave's  condo  at  Clarke  Quay  and  bungalow  near  Sentosa.  it was  a  great  stay  for  us  and  the  adults  and the  kids  had  a  wonderful  time.
10427701,"location  in  Singapore  for  travel,  if  you  don   t  a  small  basic  room."
10466406,"your  house  is  very  nice  and  tidy,  and it  is  very  happy  to  stay  in."
10669564,the  host canceled  this  reservation  19  days  before  arrival.
10718463," there  were  interruptions  on  a  regular  basis  for  construction  work  inside  and  around  the  unit.  the  bed  is  two  twin  mattress  put  together  so  if  you move  towards  the  center of  the  bedding,  you will  fall  through "
11071722,"easy  access  into  the  city  by  cab,  only  20min  drive  from the  airport."
11127304,the  host  canceled  this  reservation  the day  before  arrival.
11127543, the  home  is  more  suitable  for  male  guests.  the  home is  more  suitable  for  male  guests.
11465411," the  place  is  nice,  neat,  modern,  clean,  with  all  supplies,  well  equipped  kitchen,  A/C  to  both  lounge  and  bedroom.  The  chili  crab  restaurant  Jason  suggested  was  fantastic,  best  quality  crabs."
11496278,the location was  very  convenient  and the  apartment was  quite  spacious  and  every  minute  detail was  taken  of.
11544732,Yin's  is  a  great  place  to  stay  if  you want  somewhere  affordable  and  central.
11581560,Sky  and  Ernest  were  amazing  hosts. they were  extremely  responsive  and  hospitable  and went  the extra  mile  with  every  request  and  need.
11660178, great  place  and  awesome  host!  highly  recommended.
11679463," Katherine's  place was  very  clean  and  there  is  a daily  servicing  except  weekends.  They  said  the  furniture  looked  a bit  jaded/  worn,  but  still in  good  working  order."
11760026,Prim  was  super  polite  and  considerate  about  everything. the  place  was  amazing  with  super  beautiful  view.
11863888," no  frills,  just a  place  to  spend  the  night."
