listing_id,listing_url,name,description,picture_url,host_id,host_url,host_name,host_is_superhost,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,price,has_availability,number_of_reviews,review_scores_rating,calculated_host_listings_count,good_review_rate,popularity_score
369145,https://www.airbnb.com/rooms/369145,Townhouse in Singapore · ★4.39 · 2 bedrooms · 1 bed · 1 shared bath,"<b>The space</b><br />A room in a British style townhouse for you and your family while you are visiting Singapore . <br /><br />Amazing location in the heart of the City- 10mins walk from the infamous ""Orchard road ""where all the shopping hub and restaurants are located<br /><br />Beauty of it all is that is it nestled in a very quiet street with a nice park surrounded by lots of greenery. <br /><br />Walking Distance to Orchard Road , Little India, Indian Heritage Centre <br /><br />Nearby Attractions are as follows: <br />Indian Heritage Centre , Trishaw Ride @ Bugis , Stamford Arts Centre, Newton Hawkers Centre-One of the first food courts in Singapore<br /><br />Shopping Mall which includes Restaurants, Supermarkets , Pubs and Food Courts United Square 0.45 km , Goldhill Plaza 0.52 km , Novena Square<br /><br />PLEASE NOTE <br />- When you contact me about my  listing, please let me know some more detailed information about yourself, your travel companion/s and your trip. Please f",https://a0.muscache.com/pictures/129807ba-7206-4a82-81fa-925c602d47f9.jpg,1521514,https://www.airbnb.com/users/show/1521514,Elizabeth,0,Newton,Central Region,1.31129,103.83788,0.25,2,66.0,t,165,4.39,7,92.72727272727272,55.12724268181818
395191,https://www.airbnb.com/rooms/395191,Rental unit in Singapore · ★4.31 · 1 bedroom · 1 bed · 0 baths,"A basic simple small room for solo traveler in a heart of Singapore's central area- with easy access to buses and MRT train- Located in a heritage district.<br /><br /><b>The space</b><br />Experience staying in Singapore's Straits Peranakan conserved unit with modern amenities.<br /><br />The unit is part of a 3-storeys shop-house and an exclusive 33 - boutique apartment complex, with separate different units. This is the ground floor with a front porch and a backyard. The land title was from the British Colonial's 19th century (1841) of 999 years, and the original building was built before the World War. It has been renovated and retrofitted in 2011 with modern amenities while keeping the outside preserved.<br /><br />It is suitable for a solo traveler, single traveler whom needs place to crash after exploring Singapore, or transiting to other destination.<br /><br />Please note this is a small study place converted to guest room. Amenities in the room:<br />- This is a bright study ",https://a0.muscache.com/pictures/4678049/70e55239_original.jpg,1975201,https://www.airbnb.com/users/show/1975201,Adi,0,River Valley,Central Region,1.29335,103.83768,0.25,1,100.0,t,27,4.31,1,100.0,46.546707500000004
468782,https://www.airbnb.com/rooms/468782,Home in Singapore · ★4.69 · 1 bedroom · 1.5 shared baths,"Our cosy room is suitable for those who are here for work, to study or just on a vacation. A stones throw away are many local food centres, a shopping centre, banks and parks.<br /><br /><b>The space</b><br />The room is a simple and cosy place that comes with:<br /><br />-Single Queen sized Bed<br /><br />-Attached Bathroom<br /><br />-Study Table<br /><br />-Closet<br /><br />WHO SHOULD STAY WITH US?<br /><br />1.If you want affordable, and true value-for-money accommodation in Singapore<br /><br />2. If you are on holiday in Singapore and want to know the best places to sight-see, eat delicious Singaporean food and experience the true Singaporean culture<br /><br />3. If you are in Singapore for any event and need a place to stay <br />(eg. Conventions, Meetings, Weddings, F1 race etc)<br /><br />4. If you are coming to Singapore for work and need a temporary place to stay while finding long-term accommodations here<br /><br /><b>Guest access</b><br />Guests will have access to the ",https://a0.muscache.com/pictures/5965038/cd9d59b8_original.jpg,2327208,https://www.airbnb.com/users/show/2327208,Jerome,0,Serangoon,North-East Region,1.36288,103.86575,0.25,2,47.0,t,82,4.69,1,96.34146341463416,48.92663225609757
481789,https://www.airbnb.com/rooms/481789,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,"Aircon Master Bedroom in a Newly Built Flat for Lease  from 18 APRIL 2015 (6months to 2years) directly opposite Temasek Polytechnic.<br /><br /><b>The space</b><br />Aircon Master Bedroom in a Newly Built Flat for Lease  from 18 APRIL 2015 (6months to 2years)<br /><br />Furnished Master Bedroom for rent in TAMPINES (Aircon, queen-sized bed, wardrobe, desk, side table, TV, fan) with attached bathroom. Rental from S$1300 per month including utilities (depending on number of pax in room).  <br /><br />Very bright and windy on 8th floor in Tampines with utilities, washer, internet and light cooking okay. The room is available for LONG/SHORT TERM (at least 6 months’ lease).  Preference to let room to maximum 2pax in room or SINGLE LADIES or STUDENTS (no pets, no-smoking).<br /><br />NOTE: Security Deposit of 1 month's rent is required.<br /><br />The flat has wireless internet, washing machine and kitchen has all cooking utensils.  Light cooking allowed but tenants must provide own grocerie",https://a0.muscache.com/pictures/5710886/22c62c79_original.jpg,2386154,https://www.airbnb.com/users/show/2386154,Susan,0,Tampines,East Region,1.34816,103.93238,0.25,2,37.0,f,0,,1,0.0,0.5563705
606784,https://www.airbnb.com/rooms/606784,Condo in Singapore · ★4.82 · 1 bedroom · 1 bed · 2 baths,"Cosy, spacious double room in a quiet and pleasant neighborhood. Wi-fi, tv. Big common pool and gym. 12 min. walk to suburban mall and MRT station. Also near Expo and SUTD, both about 20 min. walk. Especially great for lady travellers.<br /><br /><b>The space</b><br />Bright and spacious ensuite double room in a quiet neighbourhood. Bed is queen size.<br /><br /><b>Guest access</b><br />TV, Wi-Fi in room. Tea/ coffee, bread and butter in the pantry. Washer/ dryer is available but try not to wash everyday ok? <br /><br />While simple toast is fine, no gas cooking please. Lots of food places near MRT Station and suburban mall, 10 min. walk away. Food-courts, cafes, fast-food, etc. Perhaps try local food during your short stay here? Singapore is quite known for its streets food. <br /><br />By the way, I live in the house. You will have own bedroom and bathroom. You will have access to living area and pantry. <br /><br />And you will have access to common external facilities such as pool ",https://a0.muscache.com/pictures/50824143/983709e0_original.jpg,813925,https://www.airbnb.com/users/show/813925,Happy,0,Tampines,East Region,1.34361,103.95717,0.25,2,83.0,f,80,4.82,1,87.5,44.8778755
642660,https://www.airbnb.com/rooms/642660,Rental unit in Singapore · 1 bedroom · 1 bed · 2 baths,"<b>The space</b><br />LEADING PROVIDER OF PREMIUM ROOM ACCOMODATION IN SINGAPORE. FOR THOSE WHO NEED AT LEAST 6 MONTHS ACCOMODATION AND FIND HOTEL/SERVICE APARTMENTS TOO COSTLY. WE PROVIDE FULLY FURNISHED ROOMS EQUIVALENT TO THE COMFORT LEVEL OF MAINSTREAM HOTELS WITH COMPLIMENTRY FACILITIES LIKE SWIMMING POOL, GYM, CLUBHOUSE, WIFI AND WEEKLY CLEANING SERVICES. SO STAY WITH US AND ENJOY THE CITY LIFESTYLE YOU'LL NEVER FORGET.  <br /> <br />ALL OUR APARTMENTS ARE SITUATION IN STRATEGIC LOCATIONS THAT ARE NEAR MAJOR MODE OF TRANSPORTATION (UNDERGROUND TUBE/MRT, BUS AND TAXI KIOSK), EATERIES, INSTITUTIONS OF HIGHER LEARNING/UNIVERSITIES, SHOPPING BELT, SUPERMARKETS, CLINICS, AND THE ENTERTAINMENT HUB. <br /> <br />EVERY BEDROOM OFFERS A PARANOMIC VIEW OF THE CITYSCAPE, AND CLEAR VIEW OF THE SKYLINE.  <br /> <br />ALL YOU EVER NEED TO DO IS JUST CHECK-IN, AND FEEL THE COMFORT OF ""HOME"" WHILE BEING AWAY FROM HOME. <br /> <br />Airbnb Tips: <br />We recommend coordinating the check-in and ch",https://a0.muscache.com/pictures/8290008/f3d60f76_original.jpg,3212572,https://www.airbnb.com/users/show/3212572,Roger,0,Rochor,Central Region,1.30096,103.85206,0.25,2,162.0,f,0,,1,0.0,0.5563705
654191,https://www.airbnb.com/rooms/654191,Rental unit in Singapore · ★3.0 · 1 bedroom · 1 bed · 1 private bath,"This Room's features include:<br />+ Personal LIVING-room space with FullSize Fridge<br />+ Lockable BED-room & Fully Private, Aircon, <br />+ Private shower cubicle / wash basin<br />+ Queenbed, study table + chair, TV<br />+ Basic Bedsheet + Towel<br />+ Free wifi access (1gbps)<br />+ WC outside room<br /><br /><b>The space</b><br />This Room's features include:<br />+ Personal LIVING-room space with FullSize Fridge<br />+ Lockable BED-room & Fully Private, Aircon, <br />+ Private shower cubicle / wash basin<br />+ Queenbed, study table + chair, TV<br />+ Basic Bedsheet + Towel<br />+ Free wifi access (1gbps)<br />+ WC outside room<br /><br /><b>Guest access</b><br />- 24hr checkin via door code, No curfews (but do keep noise level down after 12am)<br />- Light cooking using shared microwave, induction cooker in pantry<br />- Unlimited wireless internet (1gbps)<br />- Unlimited usage of washer + dryer<br />- Self service kettle (shared) for hot water<br />- Iron and board (shared)<b",https://a0.muscache.com/pictures/5a9ac542-6884-4e82-b655-7e3f4e920c72.jpg,2413412,https://www.airbnb.com/users/show/2413412,Kaurus,0,Kallang,Central Region,1.31221,103.85832,0.25,1,68.0,t,3,3.0,92,100.0,74.20067250000001
696136,https://www.airbnb.com/rooms/696136,Home in Singapore · ★4.50 · 1 bedroom · 1 bed · 1 bath,"<b>The space</b><br />A studio in cosy, quiet and leafy Holland Village. This is a private-access apartment on the ground floor of our family home. Suitable for tourists and short-term workers.  <br /><br />Located in Chip Bee Gardens, within 5 minutes walk to Holland Village MRT (Circle Line). Near to 24h supermarket, famous food places and laid-back, vibrant bars and cafes. Multiple direct buses to Orchard, and MRT to town area within minutes. <br /><br />THE PLACE: <br />- Private access entrance, with your own keys. <br />- Attached bathroom, stocked with toiletries. <br />- Fully furnished with queen-sized bed. <br />- Use of back porch and its outdoor kitchen, dining area and garden. <br />- Inclusive of maid service, Wi-fi, utilities. Laundry facilities available.  <br /><br />ABOUT US: <br />We're a family of friendly, easy-going locals who live in the main house ourselves. This means that there'll always be somebody around to make sure everything goes well. Also, we have a ver",https://a0.muscache.com/pictures/9475406/e1c47a6a_original.jpg,1289033,https://www.airbnb.com/users/show/1289033,Grace,0,Bukit Timah,Central Region,1.30938,103.79812,0.25,2,100.0,t,28,4.5,1,89.28571428571429,41.993999928571434
733863,https://www.airbnb.com/rooms/733863,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,"Theme Park with jogging track and workout corner.<br />Easily accessible by rail or bus to everywhere.<br />Serangoon Station (Interchange,Purple Line) (10 min's busride away); connects you to the following stations: NS Line(Red), NE Line(Purple-Serangoon Stn) and Circle Line(Yellow)   <br />The Neighbourhood<br />Neighbourhood heartlands -Ang Mo Kio(RedLine), Hougang,Serangoon Nex(PurpleLine),  Bishan(RedLine & YellowLine), Toa Payoh(RedLine)<br /><br /><b>The space</b><br />1 fully-furnished non-aircon, clean, safe, spacious(200sq ft) private room with KDK fan, in a 4-bedroom apartment. Includes utilities and unlimited wifi. Two 24-hour Supermarkets, 5 cafes, a Thai Restaurant within walking distance from the apartment building.<br />24/7 café in the block.<br />13 bus services available to Train stations -10minutes' ride to Ang Mo Kio Station (NE LINE) or Serangoon Interchange (CIRCLE LINE & PURPLE LINE).<br />For stayers who work or study here.<br /><br /><b>Guest access</b><br />I",https://a0.muscache.com/pictures/10752217/d3994c78_original.jpg,3824517,https://www.airbnb.com/users/show/3824517,Shirlnet,0,Serangoon,North-East Region,1.36926,103.87312,0.25,1,26.0,f,0,,1,0.0,0.44453550000000003
747813,https://www.airbnb.com/rooms/747813,Condo in Singapore · ★4.63 · 1 bedroom · 1 bed · 1 shared bath,"Fantastic central serviced apartment available in the heart of Singapore's central business district, Nearby Tanjong Pagar MRT station in the middle of the CBD.<br /><br />Now with new cable TV with included all the latest movies and sports packages, Barclays Premier League (BPL) Rugby, Golf, Tennis etc.. broadcast. <br /><br />And new superfast fibre broadband wifi-internet.<br /><br /><b>The space</b><br />Fantastic central fully serviced apartment available in the heart of Singapore's CBD central business district, nearby Tanjong Pagar MRT station.<br /><br />Double bedroom with shared bathroom for rent in a serviced apartment within the CBD<br /><br />Enjoy a stunning city view from your 40th-floor apartment balcony. <br /><br />The serviced apartment is specially furnished for long or short-stay guests. The rent includes weekly maid-cleaning service, utilities, cable TV with included all the movies and sports Barclays Premier League (BPL) broadcast, superfast fibre broadband wifi-",https://a0.muscache.com/pictures/ba895238-3fb4-45d3-ae5c-c7b63a5c680e.jpg,3926646,https://www.airbnb.com/users/show/3926646,John,0,Downtown Core,Central Region,1.27663,103.84498,0.25,4,119.0,t,72,4.63,3,91.66666666666666,47.02295383333333
747816,https://www.airbnb.com/rooms/747816,Condo in Singapore · ★4.56 · 1 bedroom · 1 bed · 1 shared bath,"Fantastic central serviced apartment available in the heart of Singapore's central business district, directly above Tanjong Pagar MRT station in the middle of the CBD.<br /><br />Now with new cable TV with included all the latest movies and sports packages, Barclays Premier League (BPL) Rugby, Golf, Tennis etc.. broadcast. <br /><br />And new superfast fiber broadband wifi-internet.<br /><br /><b>The space</b><br />Fantastic central serviced apartment available on in the heart of Singapore's central business district, directly above Tanjong Pagar MRT station.<br /><br />Enjoy a stunning city view from your private balcony.<br /><br />The serviced apartment is specially furnished for long or short-stay guests. The rent includes weekly maid cleaning service, utilities, cable TV with included all the movies and sports Barclays Premier League (BPL) broadcast, and superfast fiber broadband wifi-internet, all furnishings, bed linen, towels, cutlery and kitchen essentials. You do not have to",https://a0.muscache.com/pictures/ba895238-3fb4-45d3-ae5c-c7b63a5c680e.jpg,3926646,https://www.airbnb.com/users/show/3926646,John,0,Downtown Core,Central Region,1.27585,103.84597,0.25,4,119.0,t,26,4.56,3,92.3076923076923,44.05699911538461
756267,https://www.airbnb.com/rooms/756267,Rental unit in Singapore · ★4.73 · 1 bedroom · 1 bed · 1 private bath,"Our premier suite is a lovely large room with high ceilings and your own private bathroom suite with bath and large walk in shower.<br />Situated above a great little local restaurant, café & bar - Rabbit Carrot Gun & The Trenchard Arms.<br /><br /><b>The space</b><br />Eclectic mix of modern art, contemporary and antique furniture are the foundation of this delightful large suite. High ceilings with fans, aircon and lots of light. Encapsulated in a 1925 traditionally built Singaporean shophouse, this is 1 half of a 2 bedroom apartment.<br /><br /><b>Guest access</b><br />Guests will have access to their own bedroom suite including shower facilities. In addition you have access to a shared living room with kitchenette.<br /><br /><b>During your stay</b><br />My wife and I operate Rabbit Carrot Gun and The Trenchard Arms and are on site a great deal of the time. We are therefore available to assist with most enquiries and have a great team who can help in our absence.",https://a0.muscache.com/pictures/43bb109e-9870-4c39-9ced-07e1c0642cce.jpg,1584407,https://www.airbnb.com/users/show/1584407,Richard,0,Marine Parade,Central Region,1.30416,103.90076,0.25,2,250.0,t,70,4.73,4,100.0,50.663447500000004
765579,https://www.airbnb.com/rooms/765579,Rental unit in Singapore · 1 bedroom · 1 bed · 2 shared baths,"This Room's features include:<br />- Lockable Room & Fully Private (no sharing with strangers)<br />- Airconditioned (control via your own remote)<br />- Queen-size bed, wardrobe & study desk <br />- Bedsheet / Towel<br />- Unlimited wireless internet 1gpbs<br />- Access to 2 bathrooms shared with 2 others housemates<br /><br /><b>The space</b><br />This Room's features include:<br />- Lockable Room & Fully Private (no sharing with strangers)<br />- Airconditioned (control via your own remote)<br />- Queen-size bed, wardrobe & study desk <br />- Bedsheet / Towel<br />- Unlimited wireless internet 1gpbs<br />- Access to 2 bathrooms shared with 2 others housemates<br /><br /><b>Guest access</b><br />- 24hr checkin via door code, No curfews (but do keep noise level down after 12am)<br />- Light cooking using shared microwave, induction cooker in small pantry area<br />- Unlimited high speed wireless usage (1gbps)<br />- Unlimited usage of washer + dryer<br />- Self service kettle (shared)",https://a0.muscache.com/pictures/38529362-1d8e-4ed5-a13e-4fd7a46ebee2.jpg,2413412,https://www.airbnb.com/users/show/2413412,Kaurus,0,Outram,Central Region,1.2841,103.84253,0.25,1,69.0,t,2,4.0,92,100.0,74.1300365
